연도,월,달력연도/월,순주문 구분,제품계층구조1,제품계층구조2,제품계층구조3,제품코드,제품명,약정기간,리스구분,비용구분,총렌탈(건),렌탈(건),재렌탈(건),일시불 건
2025,1,2025.01,순주문,기타,(X) 가습기,AM-1421G_BG,113303,AM-1421G_BG,지정되지 않음,지정되지 않음,서비스프리,,,,8
2025,1,2025.01,순주문,기타,(X) 가습기,AM-1421G_BL,113330,AM-1421G_BL,지정되지 않음,지정되지 않음,서비스프리,,,,8
2025,1,2025.01,순주문,기타,(X) 가습기,AM-1421G_WH,113329,AM-1421G_WH,지정되지 않음,지정되지 않음,서비스프리,,,,13
2025,1,2025.01,순주문,기타,기타,기타,4100144,"AROMA FILTER(아로마 샤워헤드, 리필형 필터)",지정되지 않음,지정되지 않음,서비스프리,,,,8
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BK_안마형_잉크 블랙,4100718,MB-B01_BK,5,금융리스,12M,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BK_안마형_잉크 블랙,4100718,MB-B01_BK,5,금융리스,1회서비스,10,10,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BK_안마형_잉크 블랙,4100718,MB-B01_BK,5,금융리스,서비스프리,46,46,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BK_안마형_잉크 블랙,4100718,MB-B01_BK,7,금융리스,12M,8,8,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BK_안마형_잉크 블랙,4100718,MB-B01_BK,7,금융리스,1회서비스,29,29,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BK_안마형_잉크 블랙,4100718,MB-B01_BK,7,금융리스,서비스프리,94,94,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BK_안마형_잉크 블랙,4100718,MB-B01_BK,지정되지 않음,지정되지 않음,서비스프리,,,,1
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BR_안마형_모카 브라운,4100717,MB-B01_BR,5,금융리스,12M,4,4,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BR_안마형_모카 브라운,4100717,MB-B01_BR,5,금융리스,1회서비스,4,4,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BR_안마형_모카 브라운,4100717,MB-B01_BR,5,금융리스,서비스프리,19,19,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BR_안마형_모카 브라운,4100717,MB-B01_BR,7,금융리스,12M,4,4,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BR_안마형_모카 브라운,4100717,MB-B01_BR,7,금융리스,1회서비스,7,7,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BR_안마형_모카 브라운,4100717,MB-B01_BR,7,금융리스,서비스프리,33,33,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_BR_안마형_모카 브라운,4100717,MB-B01_BR,지정되지 않음,지정되지 않음,서비스프리,,,,3
2025,1,2025.01,순주문,기타,안마의자,MB-B01_IV_안마형_크림화이트,4100720,MB-B01_WT,5,금융리스,1회서비스,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_IV_안마형_크림화이트,4100720,MB-B01_WT,5,금융리스,서비스프리,4,4,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_IV_안마형_크림화이트,4100720,MB-B01_WT,7,금융리스,12M,3,3,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_IV_안마형_크림화이트,4100720,MB-B01_WT,7,금융리스,1회서비스,4,4,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_IV_안마형_크림화이트,4100720,MB-B01_WT,7,금융리스,서비스프리,7,7,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_IV_안마형_크림화이트,4100720,MB-B01_WT,지정되지 않음,지정되지 않음,서비스프리,,,,1
2025,1,2025.01,순주문,기타,안마의자,MB-B01_WT_안마형_샴페인 베이지,4100719,MB-B01_BG,5,금융리스,서비스프리,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_WT_안마형_샴페인 베이지,4100719,MB-B01_BG,7,금융리스,서비스프리,4,4,,
2025,1,2025.01,순주문,기타,안마의자,MB-B01_WT_안마형_샴페인 베이지,4100719,MB-B01_BG,지정되지 않음,지정되지 않음,서비스프리,,,,1
2025,1,2025.01,순주문,기타,안마의자,MB-C01_BK_롤러형_잉크 블랙,4100726,MB-C01_BK,5,금융리스,1회서비스,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-C01_BK_롤러형_잉크 블랙,4100726,MB-C01_BK,5,금융리스,서비스프리,4,4,,
2025,1,2025.01,순주문,기타,안마의자,MB-C01_BK_롤러형_잉크 블랙,4100726,MB-C01_BK,7,금융리스,1회서비스,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-C01_BK_롤러형_잉크 블랙,4100726,MB-C01_BK,7,금융리스,서비스프리,11,11,,
2025,1,2025.01,순주문,기타,안마의자,MB-C01_BR_롤러형_모카 브라운,4100725,MB-C01_BR,5,금융리스,서비스프리,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-C01_BR_롤러형_모카 브라운,4100905,MB-C01_BR_쿠팡용,지정되지 않음,지정되지 않음,서비스프리,,,,2
2025,1,2025.01,순주문,기타,안마의자,MB-C01_WT_롤러형_샴페인 베이지,4100849,MB-C01_WT,5,금융리스,1회서비스,4,4,,
2025,1,2025.01,순주문,기타,안마의자,MB-C01_WT_롤러형_샴페인 베이지,4100849,MB-C01_WT,5,금융리스,서비스프리,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-C01_WT_롤러형_샴페인 베이지,4100849,MB-C01_WT,7,금융리스,12M,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-C01_WT_롤러형_샴페인 베이지,4100849,MB-C01_WT,7,금융리스,1회서비스,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-C01_WT_롤러형_샴페인 베이지,4100849,MB-C01_WT,7,금융리스,서비스프리,3,3,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BG_샴페인 베이지,4100861,MB-M02_BG,5,금융리스,12M,8,8,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BG_샴페인 베이지,4100861,MB-M02_BG,5,금융리스,1회서비스,5,5,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BG_샴페인 베이지,4100861,MB-M02_BG,5,금융리스,서비스프리,7,7,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BG_샴페인 베이지,4100861,MB-M02_BG,7,금융리스,12M,5,5,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BG_샴페인 베이지,4100861,MB-M02_BG,7,금융리스,1회서비스,3,3,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BG_샴페인 베이지,4100861,MB-M02_BG,7,금융리스,서비스프리,13,13,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BK_잉크 블랙    ,4100860,MB-M02_BK,5,금융리스,1회서비스,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BK_잉크 블랙    ,4100860,MB-M02_BK,5,금융리스,서비스프리,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BK_잉크 블랙    ,4100860,MB-M02_BK,7,금융리스,1회서비스,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BK_잉크 블랙    ,4100860,MB-M02_BK,7,금융리스,서비스프리,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BR_모카 브라운,4100859,MB-M02_BR,5,금융리스,12M,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BR_모카 브라운,4100859,MB-M02_BR,5,금융리스,1회서비스,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BR_모카 브라운,4100859,MB-M02_BR,5,금융리스,서비스프리,4,4,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BR_모카 브라운,4100859,MB-M02_BR,7,금융리스,12M,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BR_모카 브라운,4100859,MB-M02_BR,7,금융리스,1회서비스,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_BR_모카 브라운,4100859,MB-M02_BR,7,금융리스,서비스프리,7,7,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_WT_크림화이트,4100862,MB-M02_WT,5,금융리스,1회서비스,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_WT_크림화이트,4100862,MB-M02_WT,5,금융리스,서비스프리,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_WT_크림화이트,4100862,MB-M02_WT,7,금융리스,12M,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_WT_크림화이트,4100862,MB-M02_WT,7,금융리스,1회서비스,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_WT_크림화이트,4100862,MB-M02_WT,7,금융리스,서비스프리,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-M02_WT_크림화이트,4100862,MB-M02_WT,지정되지 않음,지정되지 않음,서비스프리,,,,1
2025,1,2025.01,순주문,기타,안마의자,MB-R02_BG_샴페인 베이지,4100865,MB-R02_BG,5,금융리스,12M,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-R02_BG_샴페인 베이지,4100865,MB-R02_BG,5,금융리스,1회서비스,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-R02_BG_샴페인 베이지,4100865,MB-R02_BG,5,금융리스,서비스프리,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-R02_BG_샴페인 베이지,4100865,MB-R02_BG,7,금융리스,서비스프리,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-R02_BK_잉크 블랙,4100864,MB-R02_BK,5,금융리스,서비스프리,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-R02_BK_잉크 블랙,4100864,MB-R02_BK,지정되지 않음,지정되지 않음,서비스프리,,,,1
2025,1,2025.01,순주문,기타,안마의자,MB-R02_BR_모카 브라운,4100863,MB-R02_BR,7,금융리스,12M,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MB-R02_BR_모카 브라운,4100863,MB-R02_BR,7,금융리스,서비스프리,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MB-R02_BR_모카 브라운,4100863,MB-R02_BR,지정되지 않음,지정되지 않음,서비스프리,,,,2
2025,1,2025.01,순주문,기타,안마의자,MB-R02_WT_크림화이트,4100866,MB-R02_WT,5,금융리스,12M,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MC_B02_GR_아틱 그레이,4100914,MC-B02_GR,5,금융리스,1회서비스,24,24,,
2025,1,2025.01,순주문,기타,안마의자,MC_B02_GR_아틱 그레이,4100914,MC-B02_GR,5,금융리스,6M,14,14,,
2025,1,2025.01,순주문,기타,안마의자,MC_B02_GR_아틱 그레이,4100914,MC-B02_GR,5,금융리스,서비스프리,95,94,1,
2025,1,2025.01,순주문,기타,안마의자,MC_B02_GR_아틱 그레이,4100914,MC-B02_GR,지정되지 않음,지정되지 않음,서비스프리,,,,3
2025,1,2025.01,순주문,기타,안마의자,MC-B02_BG_샴페인 베이지,4100878,MC-B02_BG,5,금융리스,1회서비스,71,69,2,
2025,1,2025.01,순주문,기타,안마의자,MC-B02_BG_샴페인 베이지,4100878,MC-B02_BG,5,금융리스,6M,20,19,1,
2025,1,2025.01,순주문,기타,안마의자,MC-B02_BG_샴페인 베이지,4100878,MC-B02_BG,5,금융리스,서비스프리,382,376,6,
2025,1,2025.01,순주문,기타,안마의자,MC-B02_BG_샴페인 베이지,4100878,MC-B02_BG,지정되지 않음,지정되지 않음,서비스프리,,,,22
2025,1,2025.01,순주문,기타,안마의자,MC-B02_BK_잉크 블랙,4100858,MC-B02_BK,5,금융리스,1회서비스,15,14,1,
2025,1,2025.01,순주문,기타,안마의자,MC-B02_BK_잉크 블랙,4100858,MC-B02_BK,5,금융리스,6M,4,4,,
2025,1,2025.01,순주문,기타,안마의자,MC-B02_BK_잉크 블랙,4100858,MC-B02_BK,5,금융리스,서비스프리,36,36,,
2025,1,2025.01,순주문,기타,안마의자,MC-B02_BR_로즈 브라운,4100879,MC-B02_BR,5,금융리스,1회서비스,31,30,1,
2025,1,2025.01,순주문,기타,안마의자,MC-B02_BR_로즈 브라운,4100879,MC-B02_BR,5,금융리스,6M,5,5,,
2025,1,2025.01,순주문,기타,안마의자,MC-B02_BR_로즈 브라운,4100879,MC-B02_BR,5,금융리스,서비스프리,184,180,4,
2025,1,2025.01,순주문,기타,안마의자,MC-B02_BR_로즈 브라운,4100879,MC-B02_BR,지정되지 않음,지정되지 않음,서비스프리,,,,6
2025,1,2025.01,순주문,기타,안마의자,MC-B03_BG_샴페인 베이지,4100916,MC-B03_BG,5,금융리스,1회서비스,10,10,,
2025,1,2025.01,순주문,기타,안마의자,MC-B03_BG_샴페인 베이지,4100916,MC-B03_BG,5,금융리스,6M,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MC-B03_BG_샴페인 베이지,4100916,MC-B03_BG,5,금융리스,서비스프리,51,51,,
2025,1,2025.01,순주문,기타,안마의자,MC-B03_BG_샴페인 베이지,4100916,MC-B03_BG,지정되지 않음,지정되지 않음,서비스프리,,,,8
2025,1,2025.01,순주문,기타,안마의자,MC-B03_BK_잉크 블랙,4100915,MC-B03_BK,5,금융리스,6M,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MC-B03_BK_잉크 블랙,4100915,MC-B03_BK,5,금융리스,서비스프리,9,8,1,
2025,1,2025.01,순주문,기타,안마의자,MC-B03_BK_잉크 블랙,4100915,MC-B03_BK,지정되지 않음,지정되지 않음,서비스프리,,,,1
2025,1,2025.01,순주문,기타,안마의자,MC-B03_BR_로즈 브라운,4100917,MC-B03_BR,5,금융리스,1회서비스,11,10,1,
2025,1,2025.01,순주문,기타,안마의자,MC-B03_BR_로즈 브라운,4100917,MC-B03_BR,5,금융리스,6M,4,4,,
2025,1,2025.01,순주문,기타,안마의자,MC-B03_BR_로즈 브라운,4100917,MC-B03_BR,5,금융리스,서비스프리,22,22,,
2025,1,2025.01,순주문,기타,안마의자,MC-B03_BR_로즈 브라운,4100917,MC-B03_BR,지정되지 않음,지정되지 않음,서비스프리,,,,8
2025,1,2025.01,순주문,기타,안마의자,MC-B03_GR_아틱 그레이,4100918,MC-B03_GR,5,금융리스,1회서비스,8,8,,
2025,1,2025.01,순주문,기타,안마의자,MC-B03_GR_아틱 그레이,4100918,MC-B03_GR,5,금융리스,서비스프리,16,16,,
2025,1,2025.01,순주문,기타,안마의자,MC-B03_GR_아틱 그레이,4100918,MC-B03_GR,지정되지 않음,지정되지 않음,서비스프리,,,,2
2025,1,2025.01,순주문,기타,안마의자,MC-C01_Beige,4100722,MC-C01_BG,5,금융리스,12M,5,5,,
2025,1,2025.01,순주문,기타,안마의자,MC-C01_Beige,4100722,MC-C01_BG,5,금융리스,1회서비스,13,13,,
2025,1,2025.01,순주문,기타,안마의자,MC-C01_Beige,4100722,MC-C01_BG,5,금융리스,서비스프리,63,62,1,
2025,1,2025.01,순주문,기타,안마의자,MC-C01_Beige,4100722,MC-C01_BG,지정되지 않음,지정되지 않음,서비스프리,,,,19
2025,1,2025.01,순주문,기타,안마의자,MC-C01_Blue,4100668,MC-C01_BU,5,금융리스,12M,13,13,,
2025,1,2025.01,순주문,기타,안마의자,MC-C01_Blue,4100668,MC-C01_BU,5,금융리스,1회서비스,22,22,,
2025,1,2025.01,순주문,기타,안마의자,MC-C01_Blue,4100668,MC-C01_BU,5,금융리스,서비스프리,113,113,,
2025,1,2025.01,순주문,기타,안마의자,MC-C01_Blue,4100668,MC-C01_BU,지정되지 않음,지정되지 않음,서비스프리,,,,16
2025,1,2025.01,순주문,기타,안마의자,MC-C01_Grey,4100669,MC-C01_GR(MC-C01),5,금융리스,12M,13,12,1,
2025,1,2025.01,순주문,기타,안마의자,MC-C01_Grey,4100669,MC-C01_GR(MC-C01),5,금융리스,1회서비스,23,23,,
2025,1,2025.01,순주문,기타,안마의자,MC-C01_Grey,4100669,MC-C01_GR(MC-C01),5,금융리스,서비스프리,64,63,1,
2025,1,2025.01,순주문,기타,안마의자,MC-C01_Grey,4100669,MC-C01_GR(MC-C01),지정되지 않음,지정되지 않음,서비스프리,,,,22
2025,1,2025.01,순주문,기타,안마의자,MC-C01_Pink,4100670,MC-C01_PK,5,금융리스,12M,9,9,,
2025,1,2025.01,순주문,기타,안마의자,MC-C01_Pink,4100670,MC-C01_PK,5,금융리스,1회서비스,14,13,1,
2025,1,2025.01,순주문,기타,안마의자,MC-C01_Pink,4100670,MC-C01_PK,5,금융리스,서비스프리,78,78,,
2025,1,2025.01,순주문,기타,안마의자,MC-C01_Pink,4100670,MC-C01_PK,지정되지 않음,지정되지 않음,서비스프리,,,,16
2025,1,2025.01,순주문,기타,안마의자,MC-R01_BG_토프 베이지,4101039,MC-R01_BG,5,금융리스,12M,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MC-R01_BG_토프 베이지,4101039,MC-R01_BG,5,금융리스,1회서비스,5,5,,
2025,1,2025.01,순주문,기타,안마의자,MC-R01_BG_토프 베이지,4101039,MC-R01_BG,5,금융리스,서비스프리,37,37,,
2025,1,2025.01,순주문,기타,안마의자,MC-R01_BK_잉크 블랙,4101043,MC-R01_BK,5,금융리스,12M,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MC-R01_BK_잉크 블랙,4101043,MC-R01_BK,5,금융리스,1회서비스,2,2,,
2025,1,2025.01,순주문,기타,안마의자,MC-R01_BK_잉크 블랙,4101043,MC-R01_BK,5,금융리스,서비스프리,14,13,1,
2025,1,2025.01,순주문,기타,안마의자,MC-R01_BR_다크 브라운,4101042,MC-R01_BR,5,금융리스,12M,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MC-R01_BR_다크 브라운,4101042,MC-R01_BR,5,금융리스,1회서비스,3,3,,
2025,1,2025.01,순주문,기타,안마의자,MC-R01_BR_다크 브라운,4101042,MC-R01_BR,5,금융리스,서비스프리,27,27,,
2025,1,2025.01,순주문,기타,안마의자,MC-R01_BR_다크 브라운,4101042,MC-R01_BR,지정되지 않음,지정되지 않음,서비스프리,,,,1
2025,1,2025.01,순주문,기타,안마의자,MC-R01_OR_카멜 브라운,4101040,MC-R01_OR,5,금융리스,12M,5,5,,
2025,1,2025.01,순주문,기타,안마의자,MC-R01_OR_카멜 브라운,4101040,MC-R01_OR,5,금융리스,1회서비스,9,8,1,
2025,1,2025.01,순주문,기타,안마의자,MC-R01_OR_카멜 브라운,4101040,MC-R01_OR,5,금융리스,서비스프리,40,40,,
2025,1,2025.01,순주문,기타,안마의자,MC-R01_OR_카멜 브라운,4101040,MC-R01_OR,지정되지 않음,지정되지 않음,서비스프리,,,,2
2025,1,2025.01,순주문,기타,안마의자,MC-R01_RD_와인 레드,4101041,MC-R01_RD,5,금융리스,12M,1,1,,
2025,1,2025.01,순주문,기타,안마의자,MC-R01_RD_와인 레드,4101041,MC-R01_RD,5,금융리스,1회서비스,9,9,,
2025,1,2025.01,순주문,기타,안마의자,MC-R01_RD_와인 레드,4101041,MC-R01_RD,5,금융리스,서비스프리,26,26,,
2025,1,2025.01,순주문,기타,안마의자,MC-R01_RD_와인 레드,4101041,MC-R01_RD,지정되지 않음,지정되지 않음,서비스프리,,,,2
2025,1,2025.01,순주문,기타,안마의자,시그니처 안마의자_Beige (MC-SC01),4100528,MC-SC01(Beige),5,금융리스,1회서비스,11,11,,
2025,1,2025.01,순주문,기타,안마의자,시그니처 안마의자_Beige (MC-SC01),4100528,MC-SC01(Beige),5,금융리스,6M,15,15,,
2025,1,2025.01,순주문,기타,안마의자,시그니처 안마의자_Beige (MC-SC01),4100528,MC-SC01(Beige),5,금융리스,서비스프리,22,22,,
2025,1,2025.01,순주문,기타,안마의자,시그니처 안마의자_Beige (MC-SC01),4100528,MC-SC01(Beige),지정되지 않음,지정되지 않음,서비스프리,,,,3
2025,1,2025.01,순주문,기타,안마의자,시그니처 안마의자_Black (MC-SC01),4100556,MC-SC01(Black),5,금융리스,1회서비스,9,9,,
2025,1,2025.01,순주문,기타,안마의자,시그니처 안마의자_Black (MC-SC01),4100556,MC-SC01(Black),5,금융리스,6M,9,9,,
2025,1,2025.01,순주문,기타,안마의자,시그니처 안마의자_Black (MC-SC01),4100556,MC-SC01(Black),5,금융리스,서비스프리,18,18,,
2025,1,2025.01,순주문,기타,안마의자,시그니처 안마의자_Black (MC-SC01),4100556,MC-SC01(Black),지정되지 않음,지정되지 않음,서비스프리,,,,2
2025,1,2025.01,순주문,기타,안마의자,시그니처 안마의자_Gray (MC-SC01),4100527,MC-SC01(Gray),5,금융리스,1회서비스,16,16,,
2025,1,2025.01,순주문,기타,안마의자,시그니처 안마의자_Gray (MC-SC01),4100527,MC-SC01(Gray),5,금융리스,6M,22,22,,
2025,1,2025.01,순주문,기타,안마의자,시그니처 안마의자_Gray (MC-SC01),4100527,MC-SC01(Gray),5,금융리스,서비스프리,40,39,1,
2025,1,2025.01,순주문,기타,안마의자,시그니처 안마의자_Gray (MC-SC01),4100527,MC-SC01(Gray),지정되지 않음,지정되지 않음,서비스프리,,,,2
2025,1,2025.01,순주문,기타,전기레인지,CER-04,113710,CER-04,5,금융리스,1회서비스,24,21,3,
2025,1,2025.01,순주문,기타,전기레인지,CER-04,113710,CER-04,5,금융리스,서비스프리,26,23,3,
2025,1,2025.01,순주문,기타,전기레인지,CER-04,113710,CER-04,6,금융리스,1회서비스,15,11,4,
2025,1,2025.01,순주문,기타,전기레인지,CER-04,113710,CER-04,6,금융리스,서비스프리,15,14,1,
2025,1,2025.01,순주문,기타,전기레인지,CER-04,113710,CER-04,7,금융리스,1회서비스,9,8,1,
2025,1,2025.01,순주문,기타,전기레인지,CER-04,113710,CER-04,7,금융리스,서비스프리,6,6,,
2025,1,2025.01,순주문,기타,전기레인지,CHR-04,113708,CHR-04,5,금융리스,1회서비스,38,36,2,
2025,1,2025.01,순주문,기타,전기레인지,CHR-04,113708,CHR-04,5,금융리스,서비스프리,29,28,1,
2025,1,2025.01,순주문,기타,전기레인지,CHR-04,113708,CHR-04,6,금융리스,1회서비스,22,20,2,
2025,1,2025.01,순주문,기타,전기레인지,CHR-04,113708,CHR-04,6,금융리스,서비스프리,24,22,2,
2025,1,2025.01,순주문,기타,전기레인지,CHR-04,113708,CHR-04,7,금융리스,1회서비스,8,8,,
2025,1,2025.01,순주문,기타,전기레인지,CHR-04,113708,CHR-04,7,금융리스,서비스프리,16,13,3,
2025,1,2025.01,순주문,기타,전기레인지,CHR-04,113708,CHR-04,지정되지 않음,지정되지 않음,서비스프리,,,,4
2025,1,2025.01,순주문,기타,전기레인지,CIR-303,113706,CIR-303,5,금융리스,1회서비스,9,8,1,
2025,1,2025.01,순주문,기타,전기레인지,CIR-303,113706,CIR-303,5,금융리스,서비스프리,8,7,1,
2025,1,2025.01,순주문,기타,전기레인지,CIR-303,113706,CIR-303,6,금융리스,1회서비스,13,11,2,
2025,1,2025.01,순주문,기타,전기레인지,CIR-303,113706,CIR-303,6,금융리스,서비스프리,16,16,,
2025,1,2025.01,순주문,기타,전기레인지,CIR-303,113706,CIR-303,7,금융리스,1회서비스,11,11,,
2025,1,2025.01,순주문,기타,전기레인지,CIR-303,113706,CIR-303,7,금융리스,서비스프리,14,14,,
2025,1,2025.01,순주문,기타,전기레인지,CIR-303,113706,CIR-303,지정되지 않음,지정되지 않음,서비스프리,,,,4
2025,1,2025.01,순주문,기타,전기레인지,CIR-F41GS,113278,CIR-F41GS,5,금융리스,1회서비스,6,6,,
2025,1,2025.01,순주문,기타,전기레인지,CIR-F41GS,113278,CIR-F41GS,5,금융리스,서비스프리,15,15,,
2025,1,2025.01,순주문,기타,전기레인지,CIR-F41GS,113278,CIR-F41GS,6,금융리스,1회서비스,4,4,,
2025,1,2025.01,순주문,기타,전기레인지,CIR-F41GS,113278,CIR-F41GS,6,금융리스,서비스프리,8,8,,
2025,1,2025.01,순주문,기타,전기레인지,CIR-F41GS,113278,CIR-F41GS,7,금융리스,1회서비스,7,7,,
2025,1,2025.01,순주문,기타,전기레인지,CIR-F41GS,113278,CIR-F41GS,7,금융리스,서비스프리,25,24,1,
2025,1,2025.01,순주문,기타,전기레인지,CIR-F41GS,113486,CIR-F41BS,5,금융리스,1회서비스,9,9,,
2025,1,2025.01,순주문,기타,전기레인지,CIR-F41GS,113486,CIR-F41BS,5,금융리스,서비스프리,17,17,,
2025,1,2025.01,순주문,기타,전기레인지,CIR-F41GS,113486,CIR-F41BS,6,금융리스,1회서비스,3,3,,
2025,1,2025.01,순주문,기타,전기레인지,CIR-F41GS,113486,CIR-F41BS,6,금융리스,서비스프리,10,10,,
2025,1,2025.01,순주문,기타,전기레인지,CIR-F41GS,113486,CIR-F41BS,7,금융리스,1회서비스,4,4,,
2025,1,2025.01,순주문,기타,전기레인지,CIR-F41GS,113486,CIR-F41BS,7,금융리스,서비스프리,34,34,,
2025,1,2025.01,순주문,기타,전기레인지,CIR-F41GS,113486,CIR-F41BS,지정되지 않음,지정되지 않음,서비스프리,,,,1
2025,1,2025.01,순주문,기타,전기레인지,CIR-F41PS,113352,CIR-F41PS,5,금융리스,1회서비스,3,3,,
2025,1,2025.01,순주문,기타,전기레인지,CIR-F41PS,113352,CIR-F41PS,5,금융리스,서비스프리,6,6,,
2025,1,2025.01,순주문,기타,전기레인지,CIR-F41PS,113352,CIR-F41PS,6,금융리스,1회서비스,5,5,,
2025,1,2025.01,순주문,기타,전기레인지,CIR-F41PS,113352,CIR-F41PS,6,금융리스,서비스프리,5,5,,
2025,1,2025.01,순주문,기타,전기레인지,CIR-F41PS,113352,CIR-F41PS,7,금융리스,1회서비스,9,9,,
2025,1,2025.01,순주문,기타,전기레인지,CIR-F41PS,113352,CIR-F41PS,7,금융리스,서비스프리,20,19,1,
2025,1,2025.01,순주문,기타,전기레인지,NHP-31KE,113709,NHP-31KE,5,금융리스,1회서비스,46,43,3,
2025,1,2025.01,순주문,기타,전기레인지,NHP-31KE,113709,NHP-31KE,5,금융리스,서비스프리,93,88,5,
2025,1,2025.01,순주문,기타,전기레인지,NHP-31KE,113709,NHP-31KE,6,금융리스,1회서비스,37,36,1,
2025,1,2025.01,순주문,기타,전기레인지,NHP-31KE,113709,NHP-31KE,6,금융리스,서비스프리,51,49,2,
2025,1,2025.01,순주문,기타,전기레인지,NHP-31KE,113709,NHP-31KE,7,금융리스,1회서비스,16,16,,
2025,1,2025.01,순주문,기타,전기레인지,NHP-31KE,113709,NHP-31KE,7,금융리스,서비스프리,43,41,2,
2025,1,2025.01,순주문,기타,전기레인지,NHP-31KE,113709,NHP-31KE,지정되지 않음,지정되지 않음,서비스프리,,,,1
2025,1,2025.01,순주문,기타,전기레인지,NIP-31KE,113707,NIP-31KE,5,금융리스,1회서비스,19,17,2,
2025,1,2025.01,순주문,기타,전기레인지,NIP-31KE,113707,NIP-31KE,5,금융리스,서비스프리,46,43,3,
2025,1,2025.01,순주문,기타,전기레인지,NIP-31KE,113707,NIP-31KE,6,금융리스,1회서비스,8,7,1,
2025,1,2025.01,순주문,기타,전기레인지,NIP-31KE,113707,NIP-31KE,6,금융리스,서비스프리,27,26,1,
2025,1,2025.01,순주문,기타,전기레인지,NIP-31KE,113707,NIP-31KE,7,금융리스,1회서비스,7,7,,
2025,1,2025.01,순주문,기타,전기레인지,NIP-31KE,113707,NIP-31KE,7,금융리스,서비스프리,25,24,1,
2025,1,2025.01,순주문,기타,전기레인지,NIP-31KE,113707,NIP-31KE,지정되지 않음,지정되지 않음,서비스프리,,,,2
2025,1,2025.01,순주문,기타,전기레인지,하이브리드(CHR-03),113223,NHP-30KE,지정되지 않음,지정되지 않음,서비스프리,,,,1
